iter	Passed	Remaining
156	5228	11423
157	5279	11427
158	5294	11354
159	5306	11276
160	5315	11191
161	5360	11184
162	5371	11104
163	5383	11029
164	5395	10953
165	5444	10955
166	5453	10873
167	5462	10795
168	5480	10733
169	5488	10653
170	5500	10582
171	5510	10508
172	5518	10430
173	5567	10431
174	5576	10355
175	5588	10287
176	5596	10211
177	5625	10177
178	5634	10103
179	5642	10031
180	5650	9958
181	5658	9886
182	5712	9894
183	5720	9825
184	5735	9765
185	5745	9699
186	5784	9682
187	5796	9619
188	5809	9559
189	5819	9495
190	5850	9464
191	5859	9399
192	5867	9333
193	5876	9268
194	5884	9204
195	5932	9201
196	5942	9139
197	5957	9086
198	6003	9080
199	6015	9023
200	6027	8966
201	6035	8904
202	6048	8849
203	6057	8788
204	6066	8730
205	6121	8735
206	6132	8679
207	6147	8629
208	6155	8570
209	6206	8571
210	6219	8518
211	6229	8462
212	6237	8404
213	6280	8393
214	6294	8344
215	6306	8291
216	6319	8241
217	6368	8238
218	6416	8232
219	6426	8179
220	6469	8167
221	6478	8112
222	6486	8057
223	6501	8010
224	6548	8003
225	6556	7948
226	6563	7894
227	6624	7902
228	6633	7850
229	6642	7798
230	6650	7744
231	6658	7691
232	6707	7686
233	6716	7635
234	6726	7584
235	6766	7569
236	6774	7517
237	6782	7466
238	6791	7417
239	6800	7367
240	6820	7330
241	6835	7287
242	6847	7241
243	6889	7228
244	6898	7180
245	6911	7136
246	6924	7092
247	6978	7090
248	6986	7042
249	6994	6994
250	7003	6947
251	7051	6939
252	7062	6894
253	7071	6849
254	7080	6802
255	7088	6756
256	7180	6789
257	7188	6742
258	7197	6696
259	7204	6650
260	7245	6634
261	7258	6593
262	7271	6552
263	7283	6510
264	7326	6497
265	7335	6453
266	7347	6412
267	7363	6374
268	7412	6365
269	7420	6321
270	7428	6277
271	7436	6233
272	7468	6210
273	7480	6170
274	7491	6129
275	7505	6091
276	7556	6083
277	7564	6040
278	7618	6034
279	7631	5995
280	7643	5957
281	7654	5917
282	7701	5905
283	7714	5867
284	7727	5829
285	7776	5819
286	7784	5777
287	7793	5736
288	7808	5701
289	7863	5694
290	7871	5653
291	7883	5615
292	7942	5611
293	7951	5571
294	7963	5533
295	7990	5507
296	8042	5497
297	8093	5485
298	8106	5449
299	8117	5411
300	8158	5394
301	8170	5356
302	8179	5317
303	8188	5279
304	8228	5261
305	8244	5226
306	8253	5188
307	8303	5176
308	8312	5138
309	8321	5100
310	8334	5064
311	8393	5057
312	8401	5019
313	8409	4981
314	8417	4943
315	8455	4923
316	8468	4888
317	8481	4854
318	8528	4838
319	8536	4801
320	8544	4764
321	8552	4727
322	8559	4690
323	8570	4655
324	8578	4619
325	8587	4583
326	8595	4547
327	8604	4511
328	8658	4500
329	8672	4467
330	8681	4432
331	8726	4415
332	8741	4384
333	8753	4350
334	8762	4315
335	8770	4280
336	8810	4261
337	8850	4242
338	8858	4207
339	8866	4172
340	8874	4137
341	8926	4123
342	8938	4091
343	8948	4057
344	8956	4023
345	9010	4010
346	9021	3977
347	9034	3946
348	9079	3928
349	9088	3895
350	9096	3861
351	9104	3828
352	9112	3794
353	9159	3777
354	9190	3754
355	9204	3723
356	9213	3690
357	9258	3672
358	9272	3641
359	9284	3610
360	9292	3577
361	9331	3557
362	9340	3525
363	9351	3494
364	9408	3479
365	9416	3447
366	9424	3415
367	9432	3383
368	9440	3351
369	9494	3335
370	9508	3306
371	9516	3274
372	9524	3242
373	9566	3223
374	9581	3193
375	9590	3162
376	9599	3132
377	9646	3113
378	9654	3082
379	9666	3052
380	9677	3022
381	9685	2991
382	9694	2961
383	9703	2931
384	9712	2901
385	9772	2886
386	9780	2855
387	9788	2825
388	9796	2795
389	9804	2765
390	9813	2735
391	9846	2712
392	9860	2684
393	9874	2656
394	9886	2627
395	9917	2604
396	9925	2575
397	9933	2545
398	9942	2516
399	10016	2504
400	10029	2476
401	10040	2447
402	10049	2418
403	10057	2389
404	10105	2370
405	10121	2343
406	10132	2315
407	10141	2286
408	10170	2262
409	10178	2234
410	10186	2205
411	10199	2178
412	10250	2159
413	10258	2131
414	10266	2102
415	10276	2074
416	10311	2052
417	10322	2025
418	10336	1998
419	10346	1970
420	10354	1943
421	10365	1915
422	10379	1889
423	10432	1870
424	10486	1850
425	10496	1823
426	10504	1795
427	10512	1768
428	10563	1748
429	10575	1721
430	10589	1695
431	10600	1668
432	10627	1644
433	10635	1617
434	10643	1590
435	10651	1563
436	10710	1544
437	10722	1517
438	10731	1491
439	10739	1464
440	10747	1437
441	10778	1414
442	10790	1388
443	10880	1372
444	10889	1345
445	10902	1320
446	10950	1298
447	10958	1271
448	10968	1245
449	10976	1219
450	10984	1193
451	11039	1172
452	11053	1146
453	11061	1120
454	11070	1094
455	11078	1068
456	11113	1045
457	11121	1019
458	11131	994
459	11190	973
460	11197	947
461	11205	921
462	11215	896
463	11224	870
464	11233	845
465	11277	822
466	11294	798
467	11311	773
468	11362	751
469	11379	726
470	11393	701
471	11441	678
472	11450	653
473	11458	628
474	11466	603
475	11474	578
476	11528	555
477	11540	531
478	11552	506
479	11560	481
480	11605	458
481	11617	433
482	11629	409
483	11668	385
484	11676	361
485	11684	336
486	11693	312
487	11750	288
488	11758	264
489	11766	240
490	11775	215
491	11832	192
492	11879	168
493	11887	144
494	11897	120
495	11905	96
496	11964	72
497	11973	48
498	11981	24
499	12034	0
0	98
497	16426	65
498	16434	32
499	16443	0
