iter	Logloss
0	0.6509380803
1	0.6083507165
2	0.5726162789
3	0.5405358381
4	0.5130407648
5	0.4867669673
6	0.4660542886
7	0.445777398
8	0.4285735487
9	0.4128180795
10	0.4003224794
11	0.3878030188
12	0.3769701614
13	0.3686434915
14	0.360630611
15	0.3530804811
16	0.3445608275
17	0.3392668747
18	0.3341472468
19	0.329450737
20	0.3243818126
21	0.3198629205
22	0.3144445352
23	0.31013175
24	0.3065803534
25	0.3038929454
26	0.3013973042
27	0.2986231156
28	0.2962585163
29	0.2933969505
30	0.291086443
31	0.2891260166
32	0.2875425862
33	0.2839487656
34	0.2823926316
35	0.2805414148
36	0.2782186668
37	0.2762974194
38	0.2753900523
39	0.2743967875
40	0.273117817
41	0.2719866862
42	0.2699824043
43	0.268972461
44	0.267268702
45	0.2662615743
46	0.2650626558
47	0.2640558381
48	0.2629411472
49	0.2613300863
50	0.2602151329
51	0.2593650549
52	0.2588096303
53	0.258028867
54	0.2569142954
55	0.2560698962
56	0.2551861272
57	0.254496511
58	0.2537829867
59	0.2529389454
60	0.2523454393
61	0.2520021345
62	0.2512954342
63	0.2505318505
64	0.2498605592
65	0.2491663142
66	0.2482498801
67	0.2474938602
68	0.2468653031
69	0.2459569339
70	0.2452307873
71	0.2445842394
72	0.2435901156
73	0.2426209498
74	0.2418801529
75	0.241542503
76	0.240691733
77	0.240293215
78	0.2396915009
79	0.2389452161
80	0.2383235308
81	0.2376932319
82	0.2371366619
83	0.2366575192
84	0.2359071781
85	0.235176498
86	0.2346970452
87	0.234057035
88	0.2335600447
89	0.2331687802
90	0.2326065314
91	0.232239032
92	0.2316438319
93	0.2310526164
94	0.2305717081
95	0.2302321732
96	0.2298119659
97	0.2291727193
98	0.2286547078
99	0.2279791217
100	0.2276010044
101	0.2270852119
102	0.2267724247
103	0.2262079807
104	0.2256762733
105	0.2250159579
106	0.2245159134
107	0.2240312113
108	0.2235975467
109	0.2228611162
110	0.2220967213
111	0.2217904479
112	0.2212496974
113	0.2205460752
114	0.2201492274
115	0.2197063288
116	0.2192543632
117	0.2184211069
118	0.2180483582
119	0.2177072485
120	0.2173273893
121	0.2168548083
122	0.2162398278
123	0.2153326755
124	0.2151014195
125	0.2146591175
126	0.2141321822
127	0.2137653032
128	0.2130859948
129	0.2126216217
130	0.2122297846
131	0.2118372078
132	0.2111858401
133	0.2108201063
134	0.2103562582
135	0.209839249
136	0.2094376768
137	0.2091723957
138	0.2088100025
139	0.2085323378
140	0.2082022994
141	0.2078301472
142	0.2075107029
143	0.2072305329
144	0.2069902338
145	0.2067843893
146	0.2062657336
147	0.2057594138
148	0.2054465788
149	0.2048142756
150	0.2043761014
151	0.203832774
152	0.203537548
153	0.2028770656
154	0.202381316
155	0.2018527582
156	0.20154355
157	0.2009087653
158	0.2003462063
159	0.2000032713
160	0.1995318475
161	0.1992271012
162	0.198921651
163	0.1982804359
164	0.197612151
165	0.1973881964
166	0.1971741677
167	0.1964322851
168	0.1959898996
169	0.1955343788
170	0.1952632758
171	0.1948370438
172	0.1944611335
173	0.1942382407
174	0.1938206104
175	0.1934467164
176	0.1931341319
177	0.1928128622
178	0.1924483215
179	0.1919239274
180	0.1917124041
181	0.1915123218
182	0.1911319974
183	0.1907413533
184	0.1903506854
185	0.1897958691
186	0.1895937111
187	0.1891112518
188	0.1888661806
189	0.1885453642
190	0.1880376844
191	0.1874486045
192	0.1868505888
193	0.1864803216
194	0.1861514046
195	0.1859339997
196	0.1855643409
197	0.1852414606
198	0.1848568294
