iter	Logloss
199	0.1845918227
200	0.1841036011
201	0.1839157832
202	0.1835423306
203	0.1830815844
204	0.1826445794
205	0.1823918728
206	0.1821991754
207	0.1817271074
208	0.18125424
209	0.1808000316
210	0.1803088035
211	0.1797683274
212	0.1795209537
213	0.1791535498
214	0.1788991372
215	0.1786551874
216	0.1782691842
217	0.1779799473
218	0.1775279101
219	0.1770728188
220	0.1768382105
221	0.1766754103
222	0.1763584713
223	0.1760605968
224	0.175571039
225	0.1753515701
226	0.1750928388
227	0.1747649836
228	0.1744408865
229	0.1740779086
230	0.1736482884
231	0.1733402732
232	0.1728855041
233	0.1726432603
234	0.1722726233
235	0.1720252257
236	0.1718750477
237	0.1714798105
238	0.1712372327
239	0.1707581378
240	0.1705506469
241	0.1703659189
242	0.1701044436
243	0.1696736781
244	0.1692791805
245	0.1688541296
246	0.168553714
247	0.1680376114
248	0.1678977173
249	0.1675403109
250	0.1672457292
251	0.1668013274
252	0.1663556848
253	0.1660274479
254	0.1655308751
255	0.1652906715
256	0.1650162519
257	0.1645706332
258	0.1641223183
259	0.1639503557
260	0.1636554637
261	0.1633289805
262	0.162880606
263	0.1626433849
264	0.1623744174
265	0.162140668
266	0.1617001913
267	0.1612587244
268	0.1607421207
269	0.1603834377
270	0.1601299319
271	0.1599097233
272	0.1596977109
273	0.1594231481
274	0.1590515686
275	0.1587497929
276	0.1584235364
277	0.1582179782
278	0.1579447277
279	0.1578511111
280	0.1575597028
281	0.1574518056
282	0.157258297
283	0.1569545528
284	0.156682054
285	0.1562888688
286	0.1560944534
287	0.1558236845
288	0.1556286726
289	0.1553506859
290	0.1552575106
291	0.1547625842
292	0.1544667379
293	0.1543766406
294	0.1538770972
295	0.1536553378
296	0.1536281607
297	0.1534306077
298	0.1532677955
299	0.1530221875
300	0.1526717961
301	0.1524912198
302	0.1523978775
303	0.1521251043
304	0.1518110405
305	0.1514602554
306	0.1512550432
307	0.1511751224
308	0.1509837731
309	0.1506292419
310	0.1502489414
311	0.149989876
312	0.1497448525
313	0.149415518
314	0.1492394752
315	0.149083189
316	0.1489170602
317	0.1488068247
318	0.1486282647
319	0.1483165153
320	0.148128936
321	0.1477909401
322	0.1477214703
323	0.1475035524
324	0.1471549147
325	0.1471291692
326	0.1469090084
327	0.1466332168
328	0.14628922
329	0.1461889701
330	0.1458787001
331	0.145655163
332	0.1453396318
333	0.1450349213
334	0.1448674206
335	0.1446229578
336	0.144296069
337	0.1441646931
338	0.1438675583
339	0.1435005957
340	0.1433561443
341	0.1430551083
342	0.1427309038
343	0.1424283288
344	0.1422982891
345	0.1419879594
346	0.1418422195
347	0.1415698042
348	0.1413045112
349	0.1409369522
350	0.140713594
351	0.1404583463
352	0.1402463697
353	0.1400661155
354	0.1399356702
355	0.1398331774
356	0.1395656058
357	0.139290697
358	0.139087501
359	0.1388696427
360	0.1386185229
361	0.1385923241
362	0.1385226514
363	0.1383858711
364	0.1382485182
365	0.1380746706
366	0.1380096149
367	0.1378121096
368	0.1376185056
369	0.1372200352
370	0.1369714804
371	0.1367752159
372	0.1366454386
373	0.1365786889
374	0.1364319707
375	0.1362156275
376	0.1359910406
377	0.1358314496
378	0.1356572203
379	0.1353725764
380	0.1350814545
381	0.1347226045
382	0.1344951424
383	0.1343952623
384	0.1341581367
385	0.133873815
386	0.1336646181
387	0.1334450776
388	0.1333103732
389	0.133221803
390	0.1330076908
391	0.1328952243
392	0.1327534691
393	0.1325545441
394	0.1324581955
395	0.1322463977
396	0.1319806514
397	0.1317581761
398	0.1314875504
399	0.1313078092
400	0.1312022026
401	0.1311851782
402	0.1309881024
403	0.1308809091
404	0.1307200774
405	0.1305168575
406	0.1302759142
407	0.1300178391
408	0.1298553013
409	0.1296204067
410	0.1294348555
411	0.129140059
412	0.128947648
413	0.1286955618
414	0.1285087341
415	0.1283046314
416	0.1281121607
417	0.1279935859
418	0.1277603018
419	0.1275857861
420	0.1274197171
421	0.1273287728
422	0.1271969316
423	0.1270431984
424	0.126827416
425	0.1265839315
426	0.1264328588
427	0.1263684354
428	0.1260876808
429	0.1259950782
430	0.1257591576
431	0.1255533966
432	0.1254148028
433	0.125355593
434	0.125248698
435	0.1250084943
436	0.1248880823
437	0.1246927126
438	0.1244377154
439	0.1242648819
440	0.1241431218
441	0.1240442319
442	0.1239467856
443	0.1237670564
444	0.123571806
445	0.1233927091
446	0.1233308388
447	0.1232426265
448	0.1230911362
449	0.1229394312
450	0.1227811883
451	0.1226843266
452	0.1225544182
453	0.1224979642
454	0.1224063518
455	0.1222207052
456	0.1221759906
457	0.1221144186
458	0.1219297384
459	0.1217196347
460	0.1215353243
461	0.1214619652
462	0.1213217729
463	0.1212017665
464	0.1210271315
465	0.120835138
466	0.1207467945
467	0.120586953
468	0.1203623541
469	0.1202877304
470	0.1202336148
471	0.1199872432
472	0.1198724742
473	0.1197802773
474	0.1196941289
475	0.1196045685
476	0.1193989626
477	0.1192343729
478	0.1191681362
479	0.1189968894
480	0.1188852938
481	0.1186634627
482	0.11851375
483	0.1183747268
484	0.1181394862
485	0.1178689558
486	0.1176081606
487	0.1175270349
488	0.1175000248
489	0.1174765103
490	0.1174080665
491	0.1173914357
492	0.1173396584
493	0.1172630662
494	0.1169865707
495	0.1169413074
496	0.1168402104
497	0.1166613999
498	0.1165131426
499	0.1163752648
221440042
8
